FID_grid_v,NRI,genus.age,mean.age,lamda.dev,lamda.flower,lamda.fruit,Sample,Latitude,Longitude,elevation,BIO1,BIO1k,BIO2,BIO4,bio_5new,bio_6new,Bio5K,Bio6K,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17
82,-0.010750269,19.92,11.1,0.863,0.757,0.819,193,30.742153,117.164046,60,289.65,302.115,7.7,86.06,327,9,305.85,274.05,300.45,278.45,1325,246,30,54,563,128
83,-0.065086128,25.24,11.01,0.913,0.595,0.553,322,30.505905,119.258917,546,286.95,301.845,7.6,83.87,295,-21,302.65,271.05,297.55,275.95,1454,234,45,48,584,167
84,-0.176173908,21.44,11.79,0.967,0.365,0.501,100,30.174879,121.050835,8,289.85,302.135,7.8,83.46,325,11,305.65,274.25,300.25,278.95,1266,193,49,43,482,157
85,0.286143581,24.29,14.2,0.606,0.226,0.371,83,30.972062,80.974642,4535,273.35,300.485,12.1,64.5,147,-147,287.85,258.45,281.65,265.15,604,135,8,76,327,54
86,-0.05983396,NA,NA,1.25,0,0,7,31.114723,82.993009,5037,270.55,300.205,12.6,64.1,120,-176,285.15,255.55,278.85,262.45,368,81,3,72,188,35
87,0.303865295,NA,NA,0.59,0.475,0.636,57,31.486862,85.075948,5460,268.05,299.955,13.6,70.3,102,-226,283.35,250.55,277.15,259.15,196,55,1,97,123,15
88,NA,NA,NA,NA,NA,NA,NA,31.822728,87.177351,4580,272.85,300.435,14,74.32,161,-183,289.25,254.85,282.25,263.35,225,68,1,126,166,6
89,0.070406474,NA,NA,1,0,0,28,32.121288,89.295021,4587,271.85,300.335,13.4,76.88,152,-194,288.35,253.75,281.45,261.95,279,81,1,121,202,3
90,0.464798447,NA,NA,0,0.617,0.639,35,32.382193,91.427198,4936,269.15,300.065,14.7,79.47,127,-241,285.85,249.05,278.95,258.75,334,91,2,115,231,6
91,0.444424297,24.11,17.46,0.928,0.508,0.428,139,32.605127,93.572046,4971,269.05,300.055,14.1,77.06,123,-238,285.45,249.35,278.55,258.95,451,111,3,105,294,10
92,0.537793289,22.2,14.66,0.83,0.644,0.261,283,32.789816,95.727662,4677,270.95,300.245,13.6,73.41,138,-207,286.95,252.45,279.95,261.25,512,116,3,100,318,11
93,-0.044490385,NA,NA,0.828,0.573,0.318,63,32.93603,97.89208,4578,271.45,300.295,14.4,70.83,138,-209,286.95,252.25,280.05,261.95,501,111,3,97,302,11
94,0.523236737,22.49,14.67,0.894,0.685,0.302,235,33.043582,100.063287,4247,271.85,300.335,14.9,73.29,145,-217,287.65,251.45,280.55,261.85,622,133,4,94,360,15
95,0.40134819,22.83,12.87,0.956,0.813,0.576,350,33.112334,102.239229,3775,274.45,300.595,15.7,67.33,165,-198,289.65,253.35,282.35,265.05,731,138,4,84,383,17
96,0.542815203,22.44,11.47,0.768,0.723,0.737,830,33.142197,104.417826,1343,286.25,301.775,10.8,71.94,278,-38,300.95,269.35,295.05,276.45,564,119,2,82,303,10
97,0.346935836,22.43,11.48,0.914,0.754,0.665,617,33.133131,106.596985,708,287.45,301.895,8.6,79.98,297,-16,302.85,271.55,297.55,276.75,839,162,6,78,452,21
98,0.381015181,22.96,11.26,0.81,0.667,0.625,557,33.085149,108.774606,973,285.65,301.715,9.2,82.04,292,-35,302.35,269.65,296.15,274.75,873,155,7,71,438,27
99,0.125349563,21.52,10.67,0.928,0.725,0.713,299,32.998313,110.9486,633,286.45,301.795,10.6,85.18,300,-46,303.15,268.55,297.35,275.05,853,158,13,64,405,47
100,0.163698144,22.93,12.04,0.947,0.762,0.703,138,32.872735,113.116898,132,288.35,301.985,10,90.36,319,-30,305.05,270.15,299.75,276.25,836,178,14,71,423,53
101,-0.05721988,NA,NA,0.96,0,0.138,57,32.708576,115.277465,38,288.75,302.025,9.4,90.95,322,-22,305.35,270.95,300.25,276.55,908,198,19,64,441,84
102,0.112812965,NA,NA,0.981,0.989,0.904,39,32.506044,117.428307,59,288.65,302.015,8.9,92.79,320,-24,305.15,270.75,300.35,276.25,866,186,24,61,403,88
